par1	par2	par3	par4	par5	par6	par7
ert	o	ghf	mn	i	hk	bnm
bnm	o	cvb	kj	o	kl	bnm
ert	a	rty	kj	o	gh	fgh
bnm	o	rty	kj	i	kl	ert
ert	u	rty	mn	p	gh	bnm
dfg	o	ghf	kj	p	kl	fgh
dfg	e	rty	hg	o	hk	fgh
bnm	e	rty	hg	p	gh	bnm
bnm	y	ghf	kj	o	sd	fgh
asd	o	cvb	mn	p	sd	fgh
ert	a	rty	kj	p	ls	bnm
asd	y	ghf	hg	i	dg	fgh
asd	y	rty	hg	p	hk	bnm
asd	y	rty	hg	p	sd	fgh
bnm	o	cvb	kj	i	dg	fgh
dfg	u	cvb	hg	p	kl	fgh
cvb	i	cvb	hg	o	kl	ert
asd	i	ghf	hg	o	dg	ert
asd	u	ghf	mn	p	gh	ert
asd	o	ghj	kj	o	kl	bnm
asd	u	rty	kj	p	dg	ert
cvb	a	ghf	mn	o	sd	bnm
ert	e	cvb	mn	i	dg	bnm
cvb	a	rty	kj	i	hk	bnm
dfg	u	tyu	mn	i	dg	bnm
dfg	u	ghj	hg	p	kl	bnm
dfg	e	cvb	kj	p	kl	bnm
ert	a	rty	hg	i	sd	bnm
cvb	e	cvb	hg	i	gh	fgh
dfg	y	ghj	mn	o	gh	ert
ert	a	tyu	kj	o	hk	ert
asd	u	cvb	kj	i	dg	ert
cvb	y	ghj	mn	o	dg	ert
cvb	i	cvb	kj	p	dg	fgh
bnm	e	ghj	kj	o	ls	fgh
asd	y	rty	hg	o	hk	bnm
dfg	a	cvb	hg	p	kl	bnm
cvb	e	tyu	mn	i	ls	bnm
dfg	e	tyu	hg	i	dg	fgh
asd	u	cvb	mn	i	hk	fgh
bnm	i	rty	hg	i	ls	ert
asd	e	cvb	kj	i	dg	bnm
asd	u	cvb	mn	p	dg	fgh
dfg	e	ghj	kj	i	dg	bnm
asd	u	cvb	hg	o	dg	bnm
ert	e	cvb	kj	p	ls	fgh
dfg	o	ghj	mn	i	hk	ert
dfg	e	rty	kj	p	hk	bnm
bnm	i	ghf	kj	i	kl	bnm
ert	o	rty	kj	i	ls	fgh
