color	character	tempreture	count	time
green	rude	теплый	много	эра
yellow	long	холодный	пара	столетие
red	long	жгучий	один	столетие
white	smooth	ледяной	тьма	год
black	long	холодный	пара	секунда
green	short	огненный	тьма	тысячелетие
white	smooth	ледяной	тьма	неделя
yellow	smooth	ледяной	один	тысячелетие
blue	short	ледяной	немного	секунда
black	short	жаркий	пара	минута
red	smooth	морозный	немного	столетие
yellow	short	жгучий	несколько	неделя
blue	rude	жгучий	пара	день
black	short	теплый	немного	минута
blue	smooth	морозный	немного	миллисекунда
black	rude	жгучий	немного	тысячелетие
black	rude	горячий	тьма	миллисекунда
blue	rough	огненный	один	час
red	polite	теплый	несколько	секунда
green	long	горячий	тьма	минута
blue	long	холодный	несколько	эра
white	long	холодный	немного	эра
blue	rough	огненный	пара	столетие
white	polite	жгучий	один	час
yellow	rude	жаркий	один	миллисекунда
blue	rough	жаркий	один	секунда
yellow	smooth	ледяной	несколько	миллисекунда
red	long	морозный	один	миллисекунда
yellow	long	холодный	пара	тысячелетие
green	short	теплый	несколько	минута
