color	character	master	tempreture	underground	count	time
green	rude	есть	теплый	нет	много	эра
yellow	long	нет	холодный	нет	пара	столетие
red	long	есть	жгучий	нет	один	столетие
white	smooth	есть	ледяной	да	тьма	год
black	long	нет	холодный	да	пара	секунда
green	short	есть	огненный	нет	тьма	тысячелетие
white	smooth	есть	ледяной	нет	тьма	неделя
yellow	smooth	нет	ледяной	нет	один	тысячелетие
blue	short	есть	ледяной	да	немного	секунда
black	short	нет	жаркий	нет	пара	минута
red	smooth	есть	морозный	нет	немного	столетие
yellow	short	есть	жгучий	да	несколько	неделя
blue	rude	нет	жгучий	да	пара	день
black	short	есть	теплый	нет	немного	минута
blue	smooth	есть	морозный	нет	немного	миллисекунда
black	rude	нет	жгучий	нет	немного	тысячелетие
black	rude	есть	горячий	нет	тьма	миллисекунда
blue	rough	нет	огненный	да	один	час
red	polite	есть	теплый	да	несколько	секунда
green	long	есть	горячий	нет	тьма	минута
blue	long	нет	холодный	нет	несколько	эра
white	long	есть	холодный	нет	немного	эра
blue	rough	есть	огненный	да	пара	столетие
white	polite	нет	жгучий	нет	один	час
yellow	rude	есть	жаркий	нет	один	миллисекунда
blue	rough	нет	жаркий	да	один	секунда
yellow	smooth	есть	ледяной	нет	несколько	миллисекунда
red	long	есть	морозный	да	один	миллисекунда
yellow	long	нет	холодный	да	пара	тысячелетие
green	short	есть	теплый	да	несколько	минута
